brand,brand_id
Ford,15
Hyundai,20
Lexus,28
INFINITI,21
Audi,4
Acura,1
Audi,4
BMW,5
Lexus,28
Tesla,53
Land,27
Aston,3
Toyota,54
Lincoln,29
Jaguar,22
Land,27
Mercedes-Benz,37
Dodge,12
Nissan,40
Jaguar,22
Genesis,17
Chevrolet,10
BMW,5
Ford,15
Chevrolet,10
Hyundai,20
Nissan,40
Mercedes-Benz,37
BMW,5
Audi,4
Mercedes-Benz,37
Dodge,12
BMW,5
Kia,25
Lexus,28
Jeep,23
BMW,5
Audi,4
Hyundai,20
BMW,5
Bentley,6
Honda,18
Dodge,12
BMW,5
Lucid,31
Audi,4
Chevrolet,10
MINI,32
Toyota,54
Porsche,44
Mercedes-Benz,37
Honda,18
Hummer,19
Porsche,44
Mercedes-Benz,37
Chrysler,11
Nissan,40
Audi,4
Ford,15
Acura,1
Volvo,56
Audi,4
Mercedes-Benz,37
Toyota,54
Lexus,28
BMW,5
BMW,5
Cadillac,9
Lucid,31
Audi,4
Chrysler,11
Bentley,6
BMW,5
Toyota,54
Audi,4
Porsche,44
Lamborghini,26
Maserati,33
Jaguar,22
Lexus,28
Land,27
Porsche,44
Genesis,17
Volkswagen,55
Hyundai,20
Audi,4
BMW,5
Mercedes-Benz,37
BMW,5
Subaru,51
Hyundai,20
Kia,25
Rivian,46
Aston,3
Mercedes-Benz,37
BMW,5
Jeep,23
Lexus,28
BMW,5
Toyota,54
Cadillac,9
GMC,16
Lexus,28
BMW,5
Lexus,28
Cadillac,9
BMW,5
Chevrolet,10
Jeep,23
BMW,5
Land,27
Cadillac,9
BMW,5
Bentley,6
Lincoln,29
Mercedes-Benz,37
RAM,45
Ford,15
Audi,4
Nissan,40
Land,27
Toyota,54
Rivian,46
Mercedes-Benz,37
Porsche,44
Chevrolet,10
INFINITI,21
Audi,4
Audi,4
Lucid,31
Chrysler,11
Audi,4
BMW,5
Subaru,51
Mercedes-Benz,37
Land,27
BMW,5
Ford,15
Lexus,28
Porsche,44
Dodge,12
Nissan,40
Porsche,44
Mercedes-Benz,37
Chevrolet,10
BMW,5
Hyundai,20
Chevrolet,10
Land,27
Audi,4
GMC,16
Alfa,2
Ferrari,14
Kia,25
Ford,15
Tesla,53
Toyota,54
Subaru,51
Porsche,44
Toyota,54
RAM,45
Kia,25
Cadillac,9
Toyota,54
Nissan,40
Lexus,28
Audi,4
Lexus,28
GMC,16
Ford,15
Lexus,28
Ford,15
Chevrolet,10
Audi,4
Audi,4
Genesis,17
Chevrolet,10
Scion,50
Lincoln,29
Ford,15
Porsche,44
Ford,15
Volvo,56
Chevrolet,10
Audi,4
Lincoln,29
Hyundai,20
Audi,4
Mitsubishi,39
Tesla,53
Mercedes-Benz,37
Nissan,40
Mercedes-Benz,37
