model,model_id
Utility Police Interceptor Base,1744
Palisade SEL,1183
RX 350 RX 350,1326
Q50 Hybrid Sport,1243
Q3 45 S line Premium Plus,1226
ILX 2.4L,878
S3 2.0T Premium Plus,1461
740 iL,128
RC 350 F Sport,1294
Model X Long Range Plus,1104
Rover Range Rover Sport 3.0 Supercharged HST,1423
Martin DBS Superleggera,1043
Supra 3.0 Premium,1633
Aviator Reserve AWD,294
F-TYPE,698
Rover LR4 HSE,1394
Metris Base,1078
Challenger SXT,450
350Z Enthusiast,58
F-TYPE R,699
GV70 3.5T Sport,791
S-10 LS,1447
440 Gran Coupe 440i xDrive,76
F-150 XLT,671
Suburban RST,1631
Elantra N Base,584
Sentra SR,1527
AMG CLA 45 Base 4MATIC,214
650 Gran Coupe i xDrive,115
Q5 2.0T Premium Plus,1232
AMG C 43 Base 4MATIC,209
Ram 1500 Laramie Mega Cab,1337
i3 120Ah w/Range Extender,1890
Sorento SX,1602
LX 570 Base,933
New Compass Trailhawk,1152
340 i,54
A4 2.0T Premium Plus quattro,172
Tucson SE,1727
Z4 sDrive28i,1881
Continental GTC Base,490
Passport Elite,1198
Sprinter 2500,1611
M850 i xDrive,994
Air Grand Touring,259
A7 Premium,197
Silverado 1500 Custom Trail Boss,1558
Convertible John Cooper Works,494
Avalon Touring,285
Cayenne Platinum Edition,430
AMG C 63 S,211
CR-V EX-L,361
H2 Base,853
911 Carrera S,154
CLA-Class CLA 250,351
300 Touring,34
Rogue SV,1364
A3 2.0T,167
Mustang GT Premium,1123
RL Technology,1303
XC90 Hybrid T8 R-Design,1828
R8 5.2 V10,1283
GLK-Class GLK 350,775
C-HR LE,344
IS 350 Base,887
X4 M40i,1794
M4 CS,978
CT5 Premium Luxury,367
Air Grand Touring,259
A5 2.0T Premium Plus,178
300C SRT8,36
Continental GT W12,489
M4 Base,977
GR Corolla Circuit Edition,779
RS 5 2.9T,1308
Cayenne Base,424
Huracan Tecnica Coupe,875
Quattroporte S,1272
XF 35t R-Sport,1839
ES 330 Base,569
Rover Discovery Sport SE R-Dynamic,1390
Cayman GTS,437
G90 3.3T Premium,758
Golf R 20th Anniversary Edition,830
Sonata Hybrid Limited,1589
RS 7 4.0T Prestige,1312
740 Li,126
GLS 450 Base 4MATIC,777
M6 Base,987
Forester 2.5 X,722
Elantra N Base,584
Niro Plug-In Hybrid EX Premium,1156
R1S Adventure Package,1278
Martin DBS Superleggera,1043
SLC 300 Base,1499
435 Gran Coupe i,73
Grand Cherokee Summit,848
RC 350 Base,1293
525 i,97
Corolla LE,500
CT5-V Blackwing,368
Acadia SLT-1,248
LC 500 Base,924
i8 Base,1894
ES 300h Base,568
CT5-V V-Series,369
540 i xDrive,106
Express 1500 Work Van,655
Gladiator Rubicon,819
Z4 sDrive28i,1881
Rover LR4 HSE LUX Landmark Edition,1395
XT4 Sport,1855
750 750i xDrive,130
Arnage R,268
Aviator Reserve AWD,294
AMG GL AMG GL 63 4MATIC,221
ProMaster 3500 High Roof,1220
Utility Police Interceptor Base,1744
A5 2.0T Premium,177
GT-R Premium,786
Rover Range Rover Sport 3.0L Supercharged HSE,1424
Corolla LE,500
R1S Adventure Package,1278
C-Class C300 4MATIC,342
Cayenne E-Hybrid S,426
Express 1500 Work Van,655
Q70h Base,1255
A7 Premium Plus,198
Q7 3.0T Premium Plus,1248
Air Pure,260
Pacifica Touring,1180
TTS 2.0T Premium Plus,1661
650 Gran Coupe i xDrive,115
Forester Premium,726
AMG C AMG C 63,212
Rover LR3 HSE,1393
X7 xDrive40i,1816
Transit Connect XLT,1715
LX 570 Three-Row,934
911 Carrera S,154
Ram 2500 Laramie Quad Cab,1343
Armada SL,266
Cayman Base,435
GLE 450 GLE 450,774
Monte Carlo SS,1111
M5 Base,983
Kona N Base,923
Monte Carlo SS,1111
Rover Range Rover Evoque Pure,1407
S7 4.0T Premium Plus,1483
Acadia SLT-1,248
Romeo Stelvio Ti Sport,1373
FF Base,705
K900 5.0L,920
E150 XLT,561
Model 3 Performance,1086
4Runner SR5,84
Forester Base,725
Panamera 2,1184
Tacoma PreRunner,1664
2500 Laramie,27
Sportage Nightfall,1606
DTS Base,531
Land Cruiser Base,949
GT-R Premium,786
NX 350 F SPORT Handling,1141
Q7 45 Premium Plus,1250
LX 470 Base,932
Terrain SLE,1688
Escape Limited,619
