transmission,transmission_id
6-Speed A/T,17
8-Speed Automatic,33
Automatic,41
7-Speed A/T,24
8-Speed Automatic,33
F,53
6-Speed A/T,17
A/T,39
6-Speed A/T,17
A/T,39
Automatic,41
8-Speed A/T,32
A/T,39
Transmission w/Dual Shift Mode,60
Automatic,41
A/T,39
9-Speed Automatic,37
A/T,39
6-Speed M/T,21
8-Speed A/T,32
8-Speed A/T,32
A/T,39
Automatic,41
Automatic,41
10-Speed A/T,3
Transmission w/Dual Shift Mode,60
Automatic,41
A/T,39
8-Speed A/T,32
8-Speed Automatic,33
9-Speed A/T,36
A/T,39
Automatic,41
A/T,39
8-Speed A/T,32
A/T,39
Automatic,41
8-Speed A/T,32
A/T,39
A/T,39
6-Speed A/T,17
Automatic,41
5-Speed A/T,11
Automatic,41
1-Speed A/T,1
8-Speed A/T,32
Automatic,41
6-Speed A/T,17
A/T,39
8-Speed A/T,32
Transmission w/Dual Shift Mode,60
Automatic CVT,42
A/T,39
7-Speed A/T,24
Transmission w/Dual Shift Mode,60
Transmission w/Dual Shift Mode,60
Automatic CVT,42
Transmission w/Dual Shift Mode,60
6-Speed M/T,21
Transmission w/Dual Shift Mode,60
Transmission w/Dual Shift Mode,60
7-Speed Automatic with Auto-Shift,26
A/T,39
CVT-F,52
8-Speed A/T,32
Transmission w/Dual Shift Mode,60
Automatic,41
A/T,39
1-Speed A/T,1
Transmission w/Dual Shift Mode,60
5-Speed A/T,11
8-Speed A/T,32
Transmission w/Dual Shift Mode,60
6-Speed M/T,21
8-Speed A/T,32
Transmission w/Dual Shift Mode,60
Automatic,41
8-Speed A/T,32
A/T,39
5-Speed A/T,11
Automatic,41
7-Speed A/T,24
8-Speed A/T,32
6-Speed M/T,21
A/T,39
A/T,39
6-Speed A/T,17
9-Speed A/T,36
7-Speed A/T,24
M/T,54
6-Speed M/T,21
6-Speed Automatic with Auto-Shift,19
1-Speed A/T,1
8-Speed Automatic,33
9-Speed A/T,36
8-Speed A/T,32
8-Speed Automatic,33
Transmission w/Dual Shift Mode,60
6-Speed A/T,17
M/T,54
10-Speed Automatic,4
6-Speed A/T,17
10-Speed Automatic,4
Transmission w/Dual Shift Mode,60
CVT Transmission,51
Automatic,41
Automatic,41
A/T,39
A/T,39
Transmission w/Dual Shift Mode,60
8-Speed A/T,32
9-Speed A/T,36
Automatic,41
4-Speed A/T,9
Automatic,41
Transmission w/Dual Shift Mode,60
6-Speed Automatic,18
A/T,39
Transmission w/Dual Shift Mode,60
Transmission w/Dual Shift Mode,60
Automatic,41
A/T,39
A/T,39
Automatic,41
Transmission w/Dual Shift Mode,60
4-Speed Automatic,10
7-Speed A/T,24
Automatic,41
8-Speed A/T,32
A/T,39
9-Speed A/T,36
6-Speed A/T,17
8-Speed A/T,32
Automatic CVT,42
Transmission w/Dual Shift Mode,60
6-Speed A/T,17
